key,fullName,email,passportNumber,dateOfBirth,specialNeeds

# base entity
passenger-01,Ipsum Lorem,passenger00@newmail.com,QWERTY12,1995/05/15 12:00,None

# fullName - variations
passenger-02,P,passenger01@newmail.com,ZXCVB678,1990/10/20 08:30,None
passenger-03,Ip,passenger02@newmail.com,ASDFG234,1985/07/07 15:45,None
passenger-04,Ipsum lorem sit amet consectetur adipiscing elit,passenger03@newmail.com,GHJKL890,2000/03/22 18:20,None
passenger-05,This is a very long name used for testing purposes in order to ensure that the system correctly handles names with a maximum length of 255 characters without truncation or errors in storage and retrieval,passenger04@newmail.com,MNBVC456,1998/12/05 07:10,None
passenger-06,อิปซัม โลเร็ม,passenger05@newmail.com,PLMKJ321,1982/09/17 22:50,None
passenger-07,إيبسوم لوريم,passenger06@newmail.com,YUIOP765,1996/04/12 10:05,None
passenger-08,伊普森·洛伦,passenger07@newmail.com,QAZWSX98,2003/06/30 16:25,None
passenger-09,<marquee>Test</marquee>,passenger08@newmail.com,EDCRFV67,1989/08/23 14:40,None
passenger-10,<script>alert('Test!');</script>,passenger09@newmail.com,TGBYHN54,1997/02/14 09:35,None
passenger-11," or "B" = "B,passenger10@newmail.com,OLIKUJ23,2001/11/27 05:55,None

# email - variations
passenger-12,Ipsum Lorem,xyz@abc.com,ZXCVB678,1980/01/30 03:15,None
passenger-13,Ipsum Lorem,test@ipsum-lorem.net,ASDFG234,1993/05/25 20:45,None
passenger-14,Ipsum Lorem,lorem-ipsum@amet.dolor.elit.tempor.incididunt.ut.labore.et.magna.aliqua.ad.minim.veniam.quis.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.consequat.duis.aute.irure.doloris.edu,GHJKL890,1987/12/19 13:10,None

# passportNumber - variations
passenger-15,Ipsum Lorem,passenger14@newmail.com,QAZ12345,1991/07/09 11:25,None
passenger-16,Ipsum Lorem,passenger15@newmail.com,WSX98765,2004/09/01 06:50,None
passenger-17,Ipsum Lorem,passenger16@newmail.com,123654789,1975/03/14 17:35,None
passenger-18,Ipsum Lorem,passenger17@newmail.com,ZXCV7654,1983/10/29 12:55,None

# birthDate - variations
passenger-19,Ipsum Lorem,passenger18@newmail.com,PLMOKN12,1965/08/15 04:45,None
passenger-20,Ipsum Lorem,passenger19@newmail.com,OKMNIB98,2010/02/21 22:30,None
passenger-21,Ipsum Lorem,passenger20@newmail.com,MLPOK123,2005/06/07 15:15,None

# specialNeeds - variations
passenger-22,Ipsum Lorem,passenger21@newmail.com,QAZWSX67,1994/04/18 01:20,
passenger-23,Ipsum Lorem,passenger22@newmail.com,EDCRFV54,1988/11/11 07:55,L
passenger-24,Ipsum Lorem,passenger23@newmail.com,TGBYHN43,1992/09/13 10:40,Ip
passenger-25,Ipsum Lorem,passenger24@newmail.com,OLIKUJ21,2006/12/31 05:25,Ipsum lorem sit amet consectetur adipiscing
passenger-26,Ipsum Lorem,passenger25@newmail.com,YHNBGVF1,1981/07/04 23:50,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB
passenger-27,Ipsum Lorem,passenger26@newmail.com,QWERTY987,2007/05/16 14:05,อิปซัม โลเร็ม
passenger-28,Ipsum Lorem,passenger27@newmail.com,ASDFGH654,1999/03/08 19:30,إيبسوم لوريم
passenger-29,Ipsum Lorem,passenger28@newmail.com,ZXCVCV321,1984/01/02 08:15,伊普森·洛伦
passenger-30,Ipsum Lorem,passenger29@newmail.com,BVCXDF765,1995/06/09 21:45,<marquee>Test</marquee>
passenger-31,Ipsum Lorem,passenger30@newmail.com,NMKLPO432,2008/10/22 12:10,<script>alert('Test!');</script>
passenger-32,Ipsum Lorem,passenger31@newmail.com,KJHGFDS98,1978/12/03 03:35," or "B" = "B
